a,hat
b,box,banana,book,bird,boy,boat,bag,bee,bed,bus,bell,best,,,,,
c,cat
d,dog,dance,desk,dig,drink,dad,doll,,,,,,,,,,
e,egg
f,fish
g,girl,goat,go,let's go,gone,get,give,gave,goose,gum,grass,good,grow,,,,
h,hat,hi ,hello,hot,he,him,her,hug,home,head,hop,house,has,hand,happy,hair,here
i,big,insect,kick,lick,pig,fish,kitten,it,is,hi ,ice,kite,lie,like,,,
j,jump,jar,John,,,,,,,,,,,,,,
k,kick,kid,kite,key,king,kitten,,,,,,,,,,,
l,lick,leg,clap,love,like,,,,,,,,,,,,
m,mum,mouse,mouth,monkey,my,money,make,melt,milk,me,my,moon,,,,,
n,no,nail,sun,nose,now,nut,net,name,near,need,new,night,noodles,nest,,,
o,box,fox,top,on,gone,off,stop,open,close,ok,okay,old,boat,,,,
p,pig,pen,papaya,pay,pan,puppy,,,,,,,,,,,
q,quack
r,rat,run,red,rabbit,ring,rip,rope,rice,roll,rock,,,,,,,
s,sing,song,sun,snake,snail,soap,sad,saw,see,stop,salt,sand,say,,,,
t,top,Tom,tie,tongue,time,toy,tail,tooth,talk,tomato,too,town,take,table,,,
u,up,sun,fun,us,bus,use,,,,,,,,,,,
v,very,verb,love,above,volcano,,,,,,,,,,,,
w,cow,we,swim,walk,wet,wait,why,when,where,wash,wheel,word,worm,win,wind,,
x,box,fox,axe,fix,,,,,,,,,,,,,
y,yellow,you,papaya,yes,yawn,,,,,,,,,,,,
z,zebra,buzz,zip,,,,,,,,,,,,,,
